Date,Player,Team,Abbr,Pick,Expected_Skins,Won_Game,Actual_Skins,Skins_Luck,game_id
2026-01-30,Thomas,Sacramento Kings,SAC,L,0.8248016057637347,NA,NA,NA,2026-01-30_4
2026-01-30,Adam,Boston Celtics,BOS,W,0.8248016057637347,NA,NA,NA,2026-01-30_4
2026-01-30,Adam,Los Angeles Lakers,LAL,W,0.8064516129032258,NA,NA,NA,2026-01-30_1
2026-01-30,Brian,Washington Wizards,WAS,L,0.8064516129032258,NA,NA,NA,2026-01-30_1
2026-01-30,Adam,New York Knicks,NYK,W,0.687348792198608,NA,NA,NA,2026-01-30_3
2026-01-30,Kenneth,Portland Trail Blazers,POR,L,0.6873487921986079,NA,NA,NA,2026-01-30_3
2026-01-30,Adam,Brooklyn Nets,BKN,L,0.6000620058905596,NA,NA,NA,2026-01-30_8
2026-01-30,Brian,Toronto Raptors,TOR,L,0.5592370240899764,NA,NA,NA,2026-01-30_5
2026-01-30,Kenneth,Orlando Magic,ORL,W,0.5592370240899764,NA,NA,NA,2026-01-30_5
2026-01-30,Eristeo,Los Angeles Clippers,LAC,W,0.557015198961277,NA,NA,NA,2026-01-30_7
2026-01-30,Kenneth,Golden State Warriors,GSW,W,0.5457126632595116,NA,NA,NA,2026-01-30_9
2026-01-30,Eristeo,Phoenix Suns,PHX,L,0.5338983050847458,NA,NA,NA,2026-01-30_6
2026-01-30,Thomas,Cleveland Cavaliers,CLE,W,0.5338983050847457,NA,NA,NA,2026-01-30_6
2026-01-30,Brian,Detroit Pistons,DET,W,0.4542873367404883,NA,NA,NA,2026-01-30_9
2026-01-30,Thomas,Denver Nuggets,DEN,W,0.44298480103872295,NA,NA,NA,2026-01-30_7
2026-01-30,Kenneth,Memphis Grizzlies,MEM,W,0.41691281964722765,NA,NA,NA,2026-01-30_2
2026-01-30,Matt,New Orleans Pelicans,NOP,L,0.4169128196472276,NA,NA,NA,2026-01-30_2
2026-01-30,Eristeo,Utah Jazz,UTA,L,0.3999379941094404,NA,NA,NA,2026-01-30_8
