Date,Player,Team,Abbr,Pick,Expected_Skins,Won_Game,Actual_Skins,Skins_Luck,game_id
2026-01-20,Matt,Minnesota Timberwolves,MIN,W,0.8395061728395061,NA,NA,NA,2026-01-20_4
2026-01-20,Eristeo,Utah Jazz,UTA,L,0.8395061728395061,NA,NA,NA,2026-01-20_4
2026-01-20,Kenneth,Houston Rockets,HOU,W,0.6047131519961229,NA,NA,NA,2026-01-20_3
2026-01-20,Thomas,Sacramento Kings,SAC,L,0.5988718270134754,NA,NA,NA,2026-01-20_7
2026-01-20,Kenneth,Golden State Warriors,GSW,W,0.589515331355094,NA,NA,NA,2026-01-20_6
2026-01-20,Brian,Toronto Raptors,TOR,L,0.5895153313550939,NA,NA,NA,2026-01-20_6
2026-01-20,Adam,Los Angeles Lakers,LAL,W,0.5614366729678639,NA,NA,NA,2026-01-20_5
2026-01-20,Matt,Philadelphia 76ers,PHI,W,0.4975369458128079,NA,NA,NA,2026-01-20_1
2026-01-20,Eristeo,Phoenix Suns,PHX,L,0.49753694581280783,NA,NA,NA,2026-01-20_1
2026-01-20,Thomas,Denver Nuggets,DEN,W,0.43856332703213613,NA,NA,NA,2026-01-20_5
2026-01-20,Eristeo,Los Angeles Clippers,LAC,W,0.41895604395604397,NA,NA,NA,2026-01-20_2
2026-01-20,Thomas,Chicago Bulls,CHI,L,0.4189560439560439,NA,NA,NA,2026-01-20_2
2026-01-20,Matt,Miami Heat,MIA,L,0.4011281729865246,NA,NA,NA,2026-01-20_7
2026-01-20,Eristeo,San Antonio Spurs,SAS,W,0.39528684800387714,NA,NA,NA,2026-01-20_3
