Date,Player,Team,Abbr,Pick,Expected_Skins,Won_Game,Actual_Skins,Skins_Luck,game_id
2025-12-08,Eristeo,San Antonio Spurs,SAS,W,0.7819148936170213,NA,NA,NA,2025-12-08_3
2025-12-08,Matt,New Orleans Pelicans,NOP,L,0.7819148936170213,NA,NA,NA,2025-12-08_3
2025-12-08,Eristeo,Phoenix Suns,PHX,L,0.7394039433837196,NA,NA,NA,2025-12-08_2
2025-12-08,Matt,Minnesota Timberwolves,MIN,W,0.7394039433837195,NA,NA,NA,2025-12-08_2
2025-12-08,Thomas,Sacramento Kings,SAC,L,0.60774774226898165,NA,NA,NA,2025-12-08_1
2025-12-08,Eristeo,Indiana Pacers,IND,L,0.39225225773101835,NA,NA,NA,2025-12-08_1
