Date,Player,Team,Abbr,Pick,Expected_Skins,Won_Game,Actual_Skins,Skins_Luck,game_id
2026-02-21,Thomas,Sacramento Kings,SAC,L,0.908533558966311,NA,NA,NA,2026-02-21_5
2026-02-21,Eristeo,San Antonio Spurs,SAS,W,0.908533558966311,NA,NA,NA,2026-02-21_5
2026-02-21,Brian,Detroit Pistons,DET,W,0.8116010289482266,NA,NA,NA,2026-02-21_3
2026-02-21,Thomas,Chicago Bulls,CHI,L,0.8116010289482265,NA,NA,NA,2026-02-21_3
2026-02-21,Matt,Philadelphia 76ers,PHI,W,0.6000620058905596,NA,NA,NA,2026-02-21_2
2026-02-21,Matt,New Orleans Pelicans,NOP,L,0.6000620058905596,NA,NA,NA,2026-02-21_2
2026-02-21,Adam,New York Knicks,NYK,W,0.5920670751370526,NA,NA,NA,2026-02-21_6
2026-02-21,Kenneth,Orlando Magic,ORL,W,0.4125111825320566,FALSE,0,-0.4125111825320566,2026-02-21_1
2026-02-21,Eristeo,Phoenix Suns,PHX,L,0.41251118253205654,TRUE,0,-0.41251118253205654,2026-02-21_1
2026-02-21,Kenneth,Houston Rockets,HOU,W,0.40793292486294747,NA,NA,NA,2026-02-21_6
2026-02-21,Matt,Miami Heat,MIA,L,0.17313992806416956,NA,NA,NA,2026-02-21_4
2026-02-21,Kenneth,Memphis Grizzlies,MEM,W,0.1731399280641695,NA,NA,NA,2026-02-21_4
