Date,Player,Team,Abbr,Pick,Expected_Skins,Won_Game,Actual_Skins,Skins_Luck,game_id
2026-01-23,Eristeo,Indiana Pacers,IND,L,0.8962290118359483,NA,NA,NA,2026-01-23_6
2026-01-23,Matt,Oklahoma City Thunder,OKC,W,0.8962290118359483,NA,NA,NA,2026-01-23_6
2026-01-23,Thomas,Sacramento Kings,SAC,L,0.8355850228440891,NA,NA,NA,2026-01-23_4
2026-01-23,Thomas,Cleveland Cavaliers,CLE,W,0.8355850228440891,NA,NA,NA,2026-01-23_4
2026-01-23,Adam,Boston Celtics,BOS,W,0.7534860842608586,NA,NA,NA,2026-01-23_3
2026-01-23,Adam,Brooklyn Nets,BKN,L,0.7534860842608586,NA,NA,NA,2026-01-23_3
2026-01-23,Brian,Milwaukee Bucks,MIL,W,0.6721991701244813,NA,NA,NA,2026-01-23_7
2026-01-23,Matt,New Orleans Pelicans,NOP,L,0.6590093323761665,NA,NA,NA,2026-01-23_5
2026-01-23,Kenneth,Memphis Grizzlies,MEM,W,0.6590093323761664,NA,NA,NA,2026-01-23_5
2026-01-23,Brian,Detroit Pistons,DET,W,0.6264616717193591,NA,NA,NA,2026-01-23_1
2026-01-23,Kenneth,Portland Trail Blazers,POR,L,0.5895153313550939,NA,NA,NA,2026-01-23_8
2026-01-23,Adam,Atlanta Hawks,ATL,W,0.43002915451895046,NA,NA,NA,2026-01-23_2
2026-01-23,Eristeo,Phoenix Suns,PHX,L,0.4300291545189504,NA,NA,NA,2026-01-23_2
2026-01-23,Brian,Toronto Raptors,TOR,L,0.41048466864490596,NA,NA,NA,2026-01-23_8
2026-01-23,Kenneth,Houston Rockets,HOU,W,0.373538328280641,NA,NA,NA,2026-01-23_1
2026-01-23,Thomas,Denver Nuggets,DEN,W,0.3278008298755187,NA,NA,NA,2026-01-23_7
